device,family,model,quant,mmproj,bound,tok,img,iou,encode_ms,decode_ms,prompt_eval_ms,prompt_tokens,gen_ms,n_tokens,tok_per_sec,load_ms,ttft_ms,ok,note
s25,q35,0.8B,Q4_0,F16,min,576,000000030828.jpg,0.0000,6315,1971,8604.71,691,993.3,43,43.29,711.61,16913.81002310002,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000037670.jpg,0.6884,5378,1983,7685.02,679,808.39,41,50.72,643.1,15065.736088328076,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000054654.jpg,0.0000,6288,2433,9034.83,711,5701.56,255,44.72,540.82,17778.191359570665,1,no bbox in generated output
s25,q35,0.8B,Q4_0,F16,min,576,000000093437.jpg,0.4529,7496,2532,10469.04,699,5077.23,190,37.42,1002.0,20523.76367717798,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000108026.jpg,0.6641,6524,2186,9053.08,691,868.67,41,47.2,711.34,17784.26644067797,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000123480.jpg,0.6028,8320,2565,11300.65,679,1007.45,42,41.69,911.37,22209.63656752219,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000144333.jpg,0.5729,7946,2351,10697.21,691,5898.24,255,43.23,912.08,21017.342084200787,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000170099.jpg,0.3735,8401,2561,11383.43,679,6203.68,255,41.1,905.32,22369.76090024331,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000173008.jpg,0.6623,5276,1877,7449.48,679,837.3,42,50.16,604.78,14622.41620414673,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000187243.jpg,0.7495,9458,3014,12951.69,679,1082.91,41,37.86,1076.53,25450.103100898046,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000202228.jpg,0.4687,8418,2592,11480.17,679,1146.11,43,37.52,1081.86,22516.822452025586,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000210299.jpg,0.4653,9410,2903,12795.64,679,6761.63,255,37.71,1087.69,25135.158164942986,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000223747.jpg,0.6067,5159,1738,7202.38,679,1080.99,70,64.76,691.05,14114.821630636196,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000226408.jpg,0.5010,10046,3056,13579.63,700,2043.98,77,37.67,1079.94,26708.176323334217,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000233370.jpg,0.6149,5019,1651,6925.45,691,632.56,42,66.4,775.12,13610.510240963857,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000243204.jpg,0.5746,6395,1884,8628.15,679,821.08,42,51.15,824.2,16926.70034213099,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000261888.jpg,0.3854,8872,2610,11930.29,691,2025.16,74,36.54,1089.04,23439.65726874658,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000262895.jpg,0.6678,8616,2616,11657.53,691,890.7,37,41.54,904.63,22913.603182474722,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000281032.jpg,0.5604,5311,2126,7787.14,691,5690.4,234,41.12,620.15,15248.45906614786,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000289343.jpg,0.1335,7791,2386,10610.21,685,1038.81,46,44.28,1070.61,20809.793559168924,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000297353.jpg,0.9278,4840,2189,7370.38,667,5492.53,227,41.33,532.36,14423.575499637069,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000314177.jpg,0.3828,6949,1907,9238.74,679,791.85,42,53.04,905.03,18113.59369532428,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000329219.jpg,0.6478,8696,2619,11749.89,691,998.39,41,41.07,929.79,23089.238672997322,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000333745.jpg,0.4862,5130,1671,7059.28,691,1174.45,75,63.86,790.76,13875.93925461948,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000365642.jpg,0.0000,5018,1704,6980.32,691,3971.75,255,64.2,792.26,13717.89632398754,1,no bbox in generated output
s25,q35,0.8B,Q4_0,F16,min,576,000000383606.jpg,0.4425,5846,1933,8101.0,679,931.23,46,49.4,679.37,15900.242914979757,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000384808.jpg,0.3233,8320,2618,11362.82,679,1000.08,42,42.0,911.16,22324.629523809523,1,
